level_id,name
1,十以内加法
2,十以内减法
3,十以内加减法
4,二十以内加法
5,二十以内减法
6,二十以内加减法
7,一百以内加法
8,一百以内减法
9,一百以内加减法
10,两位数乘法
11,大数加法
12,九九乘法表
13,四则口算
